Year 1,January,7
Year 1,February,6
Year 1,March,6
Year 1,April,5
Year 1,May,5
Year 1,June,5
Year 1,July,5
Year 1,August,5
Year 1,September,6
Year 1,October,7
Year 1,November,7
Year 1,December,8
Year 2,January,7
Year 2,February,6
Year 2,March,6
Year 2,April,5
Year 2,May,5
Year 2,June,5
Year 2,July,5
Year 2,August,5
Year 2,September,6
Year 2,October,7
Year 2,November,7
Year 2,December,8
Year 3,January,7
Year 3,February,6
Year 3,March,6
Year 3,April,5
Year 3,May,5
Year 3,June,5
Year 3,July,5
Year 3,August,5
Year 3,September,6
Year 3,October,7
Year 3,November,7
Year 3,December,8
Year 4,January,7
Year 4,February,6
Year 4,March,6
Year 4,April,5
Year 4,May,5
Year 4,June,5
Year 4,July,5
Year 4,August,5
Year 4,September,6
Year 4,October,7
Year 4,November,7
Year 4,December,8
Year 5,January,7
Year 5,February,6
Year 5,March,6
Year 5,April,5
Year 5,May,5
Year 5,June,5
Year 5,July,5
Year 5,August,5
Year 5,September,6
Year 5,October,7
Year 5,November,7
Year 5,December,8
